Data;CEE_SECO_01;CEE_SECO_02;CEE_SECO_03;CEE_SECO_04;CEE_SECO_05;CEE_SECO_06;CEE_SECO_07;CEE_SECO_08;CEE_SECO_09;CEE_SECO_10;CEE_SECO_11;CEE_SECO_12;CEE_SECO_13;CEE_SECO_14;CEE_SECO_15;CEE_SECO_16;CEE_SECO_17;CEE_SECO_18;CEE_SECO_19;CEE_SECO_20;CEE_SECO_21;CEE_SECO_22;CEE_SECO_23;CEE_SECO_24;CEE_SECO_MED;CEE_SECO_CSO;CEE_SECO_CP;CEE_SECO_IP;CEE_SECO_IND;CEE_SECO_PP;CEE_SECO_RED;CEE_SECO_RR;CEE_SECO_RRA;CEE_SECO_RRI;CEE_SECO_SP1;CEE_SECO_SP2;CEE_SECO_TOT;CEE_SUL_01;CEE_SUL_02;CEE_SUL_03;CEE_SUL_04;CEE_SUL_05;CEE_SUL_06;CEE_SUL_07;CEE_SUL_08;CEE_SUL_09;CEE_SUL_10;CEE_SUL_11;CEE_SUL_12;CEE_SUL_13;CEE_SUL_14;CEE_SUL_15;CEE_SUL_16;CEE_SUL_17;CEE_SUL_18;CEE_SUL_19;CEE_SUL_20;CEE_SUL_21;CEE_SUL_22;CEE_SUL_23;CEE_SUL_24;CEE_SUL_MED;CEE_SUL_ CSO;CEE_SUL_ CP;CEE_SUL_ IP;CEE_SUL_ IND;CEE_SUL_ PP;CEE_SUL_ RED;CEE_SUL_ RR;CEE_SUL_ RRA;CEE_SUL_ RRI;CEE_SUL_ SP1;CEE_SUL_ SP2;CEE_SUL_TOT;CEE_NE_01;CEE_NE_02;CEE_NE_03;CEE_NE_04;CEE_NE_05;CEE_NE_06;CEE_NE_07;CEE_NE_08;CEE_NE_09;CEE_NE_10;CEE_NE_11;CEE_NE_12;CEE_NE_13;CEE_NE_14;CEE_NE_15;CEE_NE_16;CEE_NE_17;CEE_NE_18;CEE_NE_19;CEE_NE_20;CEE_NE_21;CEE_NE_22;CEE_NE_23;CEE_NE_24;CEE_NE_MED;CEE_NE_CSO;CEE_NE_CP;CEE_NE_IP;CEE_NE_IND;CEE_NE_PP;CEE_NE_RED;CEE_NE_RR;CEE_NE_RRA;CEE_NE_RRI;CEE_NE_SP1;CEE_NE_SP2;CEE_NE_TOT;CEE_NO_01;CEE_NO_02;CEE_NO_03;CEE_NO_04;CEE_NO_05;CEE_NO_06;CEE_NO_07;CEE_NO_08;CEE_NO_09;CEE_NO_10;CEE_NO_11;CEE_NO_12;CEE_NO_13;CEE_NO_14;CEE_NO_15;CEE_NO_16;CEE_NO_17;CEE_NO_18;CEE_NO_19;CEE_NO_20;CEE_NO_21;CEE_NO_22;CEE_NO_23;CEE_NO_24;CEE_NO_MED;CEE_NO_CSO;CEE_NO_CP;CEE_NO_IP;CEE_NO_IND;CEE_NO_PP;CEE_NO_RED;CEE_NO_RR;CEE_NO_RRA;CEE_NO_RRI;CEE_NO_SP1;CEE_NO_SP2;CEE_NO_TOT;CEE_BR_01;CEE_BR_02;CEE_BR_03;CEE_BR_04;CEE_BR_05;CEE_BR_06;CEE_BR_07;CEE_BR_08;CEE_BR_09;CEE_BR_10;CEE_BR_11;CEE_BR_12;CEE_BR_13;CEE_BR_14;CEE_BR_15;CEE_BR_16;CEE_BR_17;CEE_BR_18;CEE_BR_19;CEE_BR_20;CEE_BR_21;CEE_BR_22;CEE_BR_23;CEE_BR_24;CEE_BR_Med;CEE_BR_CSO;CEE_BR_CP;CEE_BR_IP;CEE_BR_IND;CEE_BR_PP;CEE_BR_RED;CEE_BR_RR;CEE_BR_RRA;CEE_BR_RRI;CEE_BR_SP1;CEE_BR_SP2;CEE_BR_TOT
01/02/2017;38175.43;36074.75;34745.35;34091.91;34079.13;35055.32;36997.43;38411.89;41051.34;42985.18;44415.23;44385.8;44014.37;45409.4;46170.06;46248.59;45549.44;43272.79;41177.77;40949.97;43402.84;43779.4;43439.71;40818.66;41029.24;257746.87;1483.49;49203.47;99669.58;47259.55;427491.04;54547.31;15.97;9359.01;35179.53;2745.94;984701.76;11311.87;10664.69;10201.83;10054.02;10018.43;10339.25;11127.61;12054.08;13337.17;13914.06;14414.83;14358.03;13333.74;14241.75;14792.93;14840.92;14679.48;13821.91;12835.24;12078.75;12761.91;12985.68;13019.41;12408.79;12649.85;68129.96;315.97;11545.12;49540.92;8831.87;114068.28;30720.89;102.03;11336.97;8808.23;196.15;303596.38;11181.15;10720.27;10462.09;10246.48;10132.31;10034.84;9629.79;9454.86;10343.82;11391.2;11885.79;12087.16;11974.08;11685.36;11997.27;12319.64;12155.02;11714.69;10549.23;10702.14;10892.33;10932.04;11693.25;11634.2;11075.79;56010.93;328.07;14553.06;25528.63;14490.1;120185.13;11508.61;811.34;10156.38;11874.15;372.61;265819.01;5426.95;5319.08;5131.8;5080.93;4993.06;4913.13;4849.59;4680.67;4722.24;5035.77;5095.14;5206.37;5167.97;5179.02;5355.99;5564.38;5639.2;5349.89;5125.39;5047.6;5326.85;5469.66;5430.99;5493.5;5191.88;26768.25;414.06;6668.94;14240.65;10649.17;56368.51;5701.54;1.92;361.91;3430.23;0;124605.17;66095.4;62778.79;60541.07;59473.34;59222.93;60342.54;62604.42;64601.5;69454.57;73326.21;75810.99;76037.36;74490.16;76515.53;78316.25;78973.53;78023.14;74159.28;69687.63;68778.46;72383.93;73166.78;73583.36;70355.15;69946.76;408694.15;2630.06;76447.42;195084.34;76241.63;726976.18;94541.7;1079.99;33743.89;59595.02;3687.93;1678722.32
02/02/2017;38039.93;36009.71;34833.62;34152.61;34088.54;35185.63;37392.33;38893.46;41566.52;43266.93;44638.53;44652.97;44212.81;45353.19;45908.65;45871.39;45391.37;43450.4;41294.66;41142.47;43617.68;43576.6;42773.72;40140.55;41060.59;257943.84;1484.62;49241.07;99745.75;47295.66;427817.73;54589;15.98;9366.16;35206.41;2748.04;985454.27;11343.46;10640.69;10136.45;9972.91;9989.97;10313.38;11031.15;11903.36;13142.59;13766.96;14350.29;14407.35;13557.63;14562.67;15145.93;15046.57;14808.76;13973.86;12942.35;12164.33;12909.78;13296.86;13391.56;12837.67;12734.86;68587.79;318.09;11622.7;49873.83;8891.22;114834.81;30927.33;102.71;11413.15;8867.42;197.47;305636.53;11390.39;10943.56;10579.51;10277.22;10123.58;10058.51;9655.56;9438.83;10283.27;11306.22;11768.43;12003.97;11940.49;11633.98;12076.2;12289.94;12120.39;11652.15;10435.78;10779.97;11049.33;11038.31;11667.27;11618.55;11088.81;56076.75;328.46;14570.16;25558.63;14507.13;120326.38;11522.14;812.29;10168.31;11888.11;373.05;266131.41;5436.63;5336.44;5211.49;5102.95;5004.22;5029.57;5014.57;4869.43;4859.21;5143.92;5367.2;5465.85;5407.9;5321.97;5436.92;5570.68;5579.39;5494.33;5236.28;5107.31;5409.26;5468.52;5571.57;5612.19;5294.08;27295.13;422.21;6800.21;14520.95;10858.78;57478.02;5813.76;1.96;369.03;3497.75;0;127057.8;66210.41;62930.4;60761.07;59505.69;59206.31;60587.09;63093.61;65105.08;69851.59;73484.03;76124.45;76530.14;75118.83;76871.81;78567.7;78778.58;77899.91;74570.74;69909.07;69194.08;72986.05;73380.29;73404.12;70208.96;70178.33;410047.2;2638.76;76700.51;195730.2;76494.04;729382.96;94854.7;1083.56;33855.61;59792.32;3700.14;1684280.01
03/02/2017;37533.65;35327;34179.66;33594.47;33619.43;34696.13;37018.7;38663.56;41225.65;43065.62;44298.91;44052.24;43683.04;44805.72;45629.71;45564.12;44722.08;43185.62;41085.6;40617.84;43328.78;43365.24;42474.59;40690.4;40684.49;255581.14;1471.02;48790.04;98832.11;46862.45;423899.03;54088.98;15.84;9280.37;34883.93;2722.87;976427.76;11907.74;11099.13;10595.5;10325.91;10260.01;10619.17;11379.6;12234.93;13650.93;14309.2;14850.28;14859.13;13888.68;14880.98;15477.27;15382.19;15097.01;14224.87;13309.25;12362.02;12990.07;13442.71;13511.86;13150.2;13075.36;70421.69;326.6;11933.47;51207.35;9128.96;117905.26;31754.27;105.46;11718.31;9104.52;202.75;313808.64;11202.11;10774.36;10455.82;10219.02;10067.27;9934.47;9500.4;9401.13;10323.46;11242.11;11721.2;11977.68;11848.98;11570.98;12033.68;12318.19;12106.26;11560.07;10385.29;10866.58;11098.87;11033.21;11696.32;11659.25;11041.53;55837.66;327.06;14508.04;25449.66;14445.27;119813.34;11473.01;808.83;10124.96;11837.42;371.46;264996.71;5570.39;5452.62;5350.15;5236.14;5141.86;5073.46;5048.41;4878.58;4861.09;5169.45;5375.91;5408.23;5281.19;5206.95;5301.74;5422.45;5428.82;5351.63;5178.6;5099.1;5362.21;5452.77;5523.44;5567.43;5280.94;27227.42;421.16;6783.34;14484.93;10831.84;57335.44;5799.34;1.95;368.12;3489.07;0;126742.62;66213.89;62653.11;60581.13;59375.54;59088.57;60323.23;62947.11;65178.2;70061.13;73786.38;76246.3;76297.28;74701.89;76464.63;78442.4;78686.95;77354.17;74322.19;69958.74;68945.54;72779.93;73293.93;73206.21;71067.28;70082.32;409486.21;2635.15;76595.58;195462.42;76389.39;728385.08;94724.92;1082.08;33809.29;59710.52;3695.08;1681975.73
04/02/2017;38019.66;35949.67;34643.7;33968.79;33687.43;33764.11;34228.11;34100.86;36149.42;37941.79;38860.43;38931.75;38712.87;38523.82;38265.47;38257.41;38171.48;38219.04;38284.43;38877.91;41519.6;40938.26;39356.71;37824.34;37383.21;234842.41;1351.66;44831.04;90812.53;43059.87;389502.41;49700.01;14.55;8527.33;32053.33;2501.93;897197.06;12256.25;11450.72;10783.31;10444.26;10227.81;10162.34;10325.85;10217.16;11013.91;11694.71;12131.59;12408.78;12173.16;12308.05;12492.92;12474.12;12327.27;12189.01;12090.4;11935.67;12665.36;13061.23;12530.15;12047.84;11725.49;63151.54;292.88;10701.49;45920.84;8186.51;105733.03;28476.04;94.57;10508.55;8164.59;181.82;281411.87;11345.57;10953.2;10683.45;10426.77;10217.83;10062.71;9530.7;9166.91;9577.29;10044.39;10210.48;10361.52;10359.16;10246.72;10279.51;10298.38;10139.33;9884.34;9740.34;11079.45;11415.76;11227.18;11117.03;10928.46;10387.35;52529.45;307.68;13648.49;23941.84;13589.44;112714.78;10793.27;760.91;9525.09;11136.09;349.45;249296.48;5511.51;5431.62;5329;5257.07;5122.75;5056.83;5003.07;4783.14;4701.67;4797.95;4915.2;5087.94;5131.8;5128.23;5142.15;5212.18;5229.72;5162.95;5047.94;5204.44;5542.75;5568.85;5556.79;5549.04;5186.44;26740.19;413.63;6661.95;14225.73;10638.01;56309.44;5695.56;1.92;361.53;3426.63;0;124474.59;67132.99;63785.21;61439.46;60096.89;59255.82;59045.99;59087.73;58268.07;61442.29;64478.84;66117.7;66789.99;66376.99;66206.82;66180.05;66242.09;65867.8;65455.34;65163.11;67097.47;71143.47;70795.52;68560.68;66349.68;64682.5;377935.42;2432.12;70693.91;180402.1;70503.61;672263.23;87426.4;998.7;31204.29;55109.84;3410.37;1552380
05/02/2017;35817.26;34038.32;32631.47;31696.9;31130.44;30878.81;30460.64;29384.41;30337.95;31666.69;32687.16;33287.01;33652.55;33664.88;33702.03;34077.93;34480.6;35332.98;35786.68;36383.29;39769.5;40159.31;39790.98;38150.71;34123.69;214365.99;1233.81;40922.13;82894.39;39305.38;355540.84;45366.56;13.28;7783.81;29258.53;2283.78;818968.5;11366.9;10686.43;10075.03;9653.65;9350.52;9238.1;9099.24;8726.66;8995.77;9319.98;9789.99;10186.4;9985.73;9904.16;10050.29;10123.85;10187.94;10346.88;10549.19;10628.94;11804.92;12565.94;12476.32;11983.36;10295.67;55450.77;257.16;9396.54;40321.2;7188.23;92839.83;25003.64;83.04;9227.12;7168.99;159.65;247096.19;10631.26;10313.12;10047.38;9816.12;9623;9508.46;9027.88;8568.95;8579.05;8648.59;8734.65;8805.87;8968.35;9054.51;9164.16;9261.55;9201.46;9066.15;9125.05;10607.85;11043.76;10997.14;11109.55;11074.91;9624.12;48669.71;285.07;12645.63;22182.65;12590.92;104432.76;10000.21;705;8825.2;10317.84;323.78;230978.77;5503.54;5383.37;5319.31;5221.27;5150.17;5082.07;5012.7;4806.05;4634.57;4591.62;4572.92;4538.73;4546.25;4571.79;4632.63;4652.41;4690.93;4694.91;4664.15;4931.95;5386.79;5450.4;5492.21;5496.87;4959.48;25570.05;395.53;6370.43;13603.21;10172.49;53845.35;5446.33;1.84;345.71;3276.68;0;119027.61;63318.96;60421.24;58073.19;56387.94;55254.13;54707.44;53600.46;51486.07;52547.34;54226.88;55784.72;56818.01;57152.88;57195.34;57549.11;58115.74;58560.93;59440.92;60125.07;62552.03;68004.97;69172.79;68869.06;66705.85;59002.96;344750.27;2218.56;64486.53;164561.64;64312.94;613234.2;79749.8;911.01;28464.36;50270.84;3110.92;1416071.07
06/02/2017;36045.46;34260.84;33087.45;32445.86;32348.24;33718.43;36349.75;37678.7;40843.89;43007.67;44586.99;45077.25;44480.53;45693.38;46673.9;46603.88;45994.09;43989.8;41204.96;40981.86;43786;44268.38;43194.71;40852.25;40715.59;255776.54;1472.15;48827.34;98907.67;46898.27;424223.11;54130.33;15.85;9287.47;34910.6;2724.95;977174.27;11271.71;10605.49;10164.94;9904.13;9812.86;10211.64;10969.92;11885.79;13476.98;14245.57;14716.95;14816.89;13774.78;14794.68;15460.05;15415.13;15231.6;14232.97;12861.65;12000.95;12984.6;13575.26;13596.83;12987.62;12874.96;69342.36;321.59;11750.57;50422.52;8989.04;116098.16;31267.58;103.84;11538.71;8964.98;199.64;308998.99;10718.72;10292.35;10050.68;9859.77;9684.02;9608.85;9274.33;9157.51;10079.87;11168.5;11669.01;12019.66;12007.45;11747.49;12170.55;12439.33;12200.32;11692.52;10483.3;10828.81;11164.67;11185.1;11834.04;11772.13;10962.87;55439.89;324.73;14404.69;25268.36;14342.37;118959.84;11391.28;803.06;10052.83;11753.1;368.82;263108.98;5432.33;5359.32;5266.48;5166.35;5071.88;5024.54;5071.54;4869.44;4882.57;5270.41;5487.15;5648.9;5613.45;5585.34;5775.78;5904.54;5984.36;5792.55;5375.78;5126.27;5432.29;5677.64;5847.06;5938.69;5441.86;28057.08;434;6990.04;14926.31;11161.91;59082.54;5976.06;2.01;379.33;3595.39;0;130604.66;63468.22;60518;58569.55;57376.11;56917;58563.46;61665.54;63591.44;69283.31;73692.15;76460.1;77562.7;75876.21;77820.89;80080.28;80362.88;79410.37;75707.84;69925.69;68937.89;73367.56;74706.38;74472.64;71550.69;69995.29;408977.68;2631.88;76500.46;195219.68;76294.52;727480.51;94607.29;1080.73;33767.3;59636.36;3690.49;1679886.9
07/02/2017;38044.44;35929.89;34691.65;34109.26;34058.47;35101.08;37376.06;38439.64;41169.6;43152.63;44620.98;45023.67;44332.11;45675.17;46694.15;46894.93;46431.49;43843.2;41463.4;41084.27;44044.32;44645.47;43897.45;41518.76;41343.42;259720.56;1494.85;49580.24;100432.8;47621.43;430764.54;54965.01;16.09;9430.68;35448.92;2766.97;992242.09;11906.77;11107.52;10610.88;10268.05;10198.78;10503.74;11258.95;12159.18;13489.75;14084.77;14628.64;14657.35;13624.5;14714.71;15329.32;15321.19;15175.82;14128.54;12941.18;12108.16;12949.84;13334.7;13404.89;12773.17;12945.02;69719.68;323.34;11814.51;50696.89;9037.95;116729.91;31437.72;104.41;11601.5;9013.76;200.73;310680.4;11363.88;10926.31;10604.41;10358.18;10262.58;10143.25;9741.11;9475.63;10336.04;11392.23;11775.83;12130.38;12050.31;11680.13;12296.9;12564.5;12364.81;11790.58;10521.16;10979.75;11256.58;11246.6;11886.24;11770.77;11204.92;56663.95;331.9;14722.73;25826.26;14659.04;121586.36;11642.79;820.8;10274.79;12012.59;376.96;268918.16;5820.5;5689.96;5591.92;5465.45;5332.06;5228.55;5188.17;4948.61;5002.52;5300.12;5485.62;5593.96;5588.42;5522.43;5654.51;5855.51;5739.25;5552.73;5247.38;5053.56;5422.73;5598.86;5732.38;5748.7;5473.5;28220.19;436.52;7030.67;15013.08;11226.79;59426;6010.8;2.03;381.54;3616.29;0;131363.9;67135.59;63653.68;61498.86;60200.94;59851.89;60976.62;63564.29;65023.06;69997.91;73929.75;76511.07;77405.36;75595.34;77592.44;79974.88;80636.13;79711.37;75315.05;70173.12;69225.74;73673.47;74825.63;74920.96;71811.4;70966.86;414654.49;2668.41;77562.32;197929.42;77353.53;737578.29;95920.48;1095.74;34236.01;60464.15;3741.71;1703204.55
08/02/2017;38084.43;35634.47;34296.74;33481.02;33417.63;34812.49;37577.91;38782.58;41831.91;43847;45377.53;45402.46;44691;45843.81;46605.51;46691.27;46381.82;43754.33;41066.85;40678.35;43882.43;44322.32;43627.38;40790.14;41286.72;259364.39;1492.8;49512.25;100295.07;47556.13;430173.81;54889.63;16.07;9417.74;35400.3;2763.18;990881.38;11669.76;10921.73;10418.19;10216.99;10190.32;10579;11435.62;12336.86;13661.47;14239.14;14769.48;14799.17;13823.26;14828.29;15455.88;15465.86;15259.69;14305.76;13119.54;12310.2;12990.09;13165.04;13230.06;12595.86;12991.14;69968.07;324.49;11856.6;50877.51;9070.15;117145.78;31549.73;104.78;11642.83;9045.87;201.44;311787.26;11391.21;10999.97;10662.95;10419.68;10257.2;10170.87;9730.66;9480.76;10302.81;11408.1;11908.95;12171.09;12126.52;11879.08;12277.5;12514.43;12280.73;11870.49;10621.16;11002.58;11220.62;11204.77;11833.08;11836.49;11232.15;56801.66;332.7;14758.51;25889.03;14694.66;121881.84;11671.09;822.79;10299.76;12041.79;377.87;269571.7;5660.06;5555.63;5487.6;5377.81;5266.29;5199.17;5159.3;4958.71;4894.08;5174.86;5314.95;5391.47;5403.36;5345.95;5504.41;5670.71;5649.67;5567.16;5349.24;5196.99;5512.18;5629.51;5745.77;5829.03;5410.16;27893.66;431.47;6949.32;14839.37;11096.89;58738.39;5941.25;2;377.13;3574.44;0;129843.91;66805.46;63111.8;60865.48;59495.5;59131.44;60761.53;63903.49;65558.91;70690.27;74669.1;77370.91;77764.19;76044.14;77897.13;79843.3;80342.27;79571.91;75497.74;70156.79;69188.12;73605.32;74321.64;74436.29;71051.52;70920.18;414381.74;2666.66;77511.3;197799.23;77302.65;737093.15;95857.39;1095.02;34213.49;60424.38;3739.25;1702084.25
09/02/2017;37647.56;35333.21;34146.44;33405.93;33370.47;34449.58;36719.32;37875.26;40788.29;42819.01;44179.97;44600.78;43923.28;45056;45929.54;46030.59;45494.97;43280.98;40781.63;40310.55;43526.72;43856.6;43120.31;40714.51;40723.4;255825.54;1472.43;48836.69;98926.62;46907.26;424304.39;54140.7;15.85;9289.25;34917.29;2725.48;977361.5;11585.28;10852.24;10355.13;10172.57;10136.99;10465.58;11325.1;12174.26;13552.86;14223.2;14791.04;14964.1;14025.04;15197.14;15863.95;15852.31;15695.8;14754.94;13470.37;12605.66;13467.86;13542.6;13650.05;13174.38;13162.44;70890.66;328.77;12012.94;51548.37;9189.75;118690.45;31965.74;106.16;11796.35;9165.15;204.1;315898.45;11449.13;11020.87;10734.77;10503.5;10386.33;10269.49;9846.95;9528.28;10409.83;11425.9;11855.74;12116.62;11980.48;11681.24;12059.17;12305.35;12096.35;11572.62;10500.76;10971.07;11119.07;11104.86;11670.47;11625.51;11176.43;56519.87;331.05;14685.3;25760.59;14621.76;121277.19;11613.19;818.71;10248.66;11982.05;376;268234.36;5685.74;5536.68;5406.73;5275.39;5191.79;5137.87;5100.45;4916.2;4905.39;5148.77;5342.11;5382.86;5302.57;5243.16;5401.82;5587.79;5562.04;5438.55;5208.84;5064.63;5321.24;5433.31;5529.62;5551;5319.77;27427.62;424.26;6833.21;14591.44;10911.49;57757.02;5841.98;1.97;370.82;3514.72;0;127674.55;66367.71;62743;60643.07;59357.39;59085.58;60322.52;62991.82;64494;69656.37;73616.88;76168.86;77064.36;75231.37;77177.54;79254.48;79776.04;78849.16;75047.09;69961.6;68951.91;73434.89;73937.37;73970.45;71065.4;70382.04;411237.42;2646.42;76923.15;196298.33;76716.08;731500.09;95130.02;1086.71;33953.88;59965.88;3710.88;1689168.86
10/02/2017;37788.89;35611.17;34311.2;33444.77;33415.42;34547.7;36992.31;38244.29;40988.95;42981.6;44481.02;45013.32;44346.63;45539.42;46281.6;46433.86;45498.11;43530.74;40837.05;40557.33;43442.25;43473.52;42972.47;41207.72;40914.22;257024.32;1479.33;49065.54;99390.18;47127.06;426292.65;54394.4;15.92;9332.77;35080.91;2738.25;981941.34;12226.87;11440.24;10883.85;10634.6;10539.39;10817.75;11530.77;12560.46;13972.97;14630.2;15161.18;15182.67;14189.42;15180.9;15695.98;15552.57;15161.76;14191.74;13093.66;12189.22;13104.61;13100.37;13218.46;12875.06;13213.95;71168.09;330.06;12059.95;51750.1;9225.71;119154.94;32090.83;106.58;11842.52;9201.02;204.9;317134.7;11261.1;10845.9;10529.47;10296.36;10066.7;9995.72;9635.99;9411.94;10259.41;11320.32;11760.03;11911.06;11809.84;11580.36;11822.61;12015.45;11858.12;11228.99;10272.92;10721.29;10824.87;10745.21;11211.89;11182.13;10940.32;55325.84;324.06;14375.06;25216.38;14312.86;118715.1;11367.85;801.41;10032.15;11728.92;368.06;262567.68;5525.25;5479.06;5371.53;5231.85;5110.18;5066.19;5113.51;4996.9;4948.1;5193.67;5220.81;5343.3;5292.56;5204.69;5250.69;5463.62;5534.01;5447.84;5325.77;5241.49;5505.63;5598.37;5667.09;5680.33;5325.52;27457.25;424.72;6840.59;14607.2;10923.27;57819.4;5848.29;1.97;371.22;3518.52;0;127812.44;66802.11;63376.37;61096.05;59607.58;59131.69;60427.36;63272.58;65213.59;70169.43;74125.79;76623.04;77450.35;75638.45;77505.37;79050.88;79465.5;78052;74399.31;69529.4;68709.33;72877.36;72917.47;73069.91;70945.24;70394.01;411307.37;2646.87;76936.23;196331.72;76729.13;731624.51;95146.2;1086.89;33959.65;59976.08;3711.51;1689456.16
