Data;DM;DS;MES;ANO;ESTAC;FER;NEB_SECO_9;NEB_SECO_15;NEB_SECO_21;NEB_SECO_MED;PA_SECO_9;PA_SECO_15;PA_SECO_21;PA_SECO_MED;TEMP_BS_SECO_9;TEMP_BS_SECO_15;TEMP_BS_SECO_21;TEMP_BS_SECO_MED;TEMP_BU_SECO_9;TEMP_BU_SECO_15;TEMP_BU_SECO_21;TEMP_BU_SECO_MED;UMID_SECO_9;UMID_SECO_15;UMID_SECO_21;UMID_SECO_MED;DV_SECO_9;DV_SECO_15;DV_SECO_21;DV_SECO_MED;VV_SECO_9;VV_SECO_15;VV_SECO_21;VV_SECO_MED;NEB_SUL_9;NEB_SUL_15;NEB_SUL_21;NEB_SUL_MED;PA_SUL_9;PA_SUL_15;PA_SUL_21;PA_SUL_MED;TEMP_BS_SUL_9;TEMP_BS_SUL_15;TEMP_BS_SUL_21;TEMP_BS_SUL_MED;TEMP_BU_SUL_9;TEMP_BU_SUL_15;TEMP_BU_SUL_21;TEMP_BU_SUL_MED;UMID_SUL_9;UMID_SUL_15;UMID_SUL_21;UMID_SUL_MED;DV_SUL_9;DV_SUL_15;DV_SUL_21;DV_SUL_MED;VV_SUL_9;VV_SUL_15;VV_SUL_21;VV_SUL_MED;NEB_NE_9;NEB_NE_15;NEB_NE_21;NEB_NE_MED;PA_NE_9;PA_NE_15;PA_NE_21;PA_NE_MED;TEMP_BS_NE_9;TEMP_BS_NE_15;TEMP_BS_NE_21;TEMP_BS_NE_MED;TEMP_BU_NE_9;TEMP_BU_NE_15;TEMP_BU_NE_21;TEMP_BU_NE_MED;UMID_NE_9;UMID_NE_15;UMID_NE_21;UMID_NE_MED;DV_NE_9;DV_NE_15;DV_NE_21;DV_NE_MED;VV_NE_9;VV_NE_15;VV_NE_21;VV_NE_MED;NEB_N_9;NEB_N_15;NEB_N_21;NEB_N_MED;PA_N_9;PA_N_15;PA_N_21;PA_N_MED;TEMP_BS_N_9;TEMP_BS_N_15;TEMP_BS_N_21;TEMP_BS_N_MED;TEMP_BU_N_9;TEMP_BU_N_15;TEMP_BU_N_21;TEMP_BU_N_MED;UMID_N_9;UMID_N_15;UMID_N_21;UMID_N_MED;DV_N_9;DV_N_15;DV_N_21;DV_N_MED;VV_N_9;VV_N_15;VV_N_21;VV_N_MED;NEB_BR_9;NEB_BR_15;NEB_BR_21;NEB_BR_MED;PA_BR_9;PA_BR_15;PA_BR_21;PA_BR_MED;TEMP_BS_BR_9;TEMP_BS_BR_15;TEMP_BS_BR_21;TEMP_BS_BR_MED;TEMP_BU_BR_9;TEMP_BU_BR_15;TEMP_BU_BR_21;TEMP_BU_BR_MED;UMID_BR_9;UMID_BR_15;UMID_BR_21;UMID_BR_MED;DV_BR_9;DV_BR_15;DV_BR_21;DV_BR_MED;VV_BR_9;VV_BR_15;VV_BR_21;VV_BR_MED;TAR_SECO_CSO;TAR_SECO_CP;TAR_SECO_IP;TAR_SECO_IND;TAR_SECO_PP;TAR_SECO_RED;TAR_SECO_RR;TAR_SECO_RRA;TAR_SECO_RRI;TAR_SECO_SP1;TAR_SECO_SP1;TAR_SECO_MED;TAR_SUL_CSO;TAR_SUL_CP;TAR_SUL_IP;TAR_SUL_IND;TAR_SUL_PP;TAR_SUL_RED;TAR_SUL_RR;TAR_SUL_RRA;TAR_SUL_RRI;TAR_SUL_SP1;TAR_SUL_SP2;TAR_SUL_MED;TAR_NE_CSO;TAR_NE_CP;TAR_NE_IP;TAR_NE_IND;TAR_NE_PP;TAR_NE_RED;TAR_NE_RR;TAR_NE_RRA;TAR_NE_RRI;TAR_NE_SP1;TAR_NE_SP2;TAR_NE_MED;TAR_N_CSO;TAR_N_CP;TAR_N_IP;TAR_N_IND;TAR_N_PP;TAR_N_RED;TAR_N_RR;TAR_N_RRA;TAR_N_RRI;TAR_N_SP1;TAR_N_SP2;TAR_N_MED;TAR_BR_CSO;TAR_BR_CP;TAR_BR_IP;TAR_BR_IND;TAR_BR_PP;TAR_BR_RED;TAR_BR_RR;TAR_BR_RRA;TAR_BR_RRI;TAR_BR_SP1;TAR_BR_SP2;TAR_BR_MED;Meta_Selic;Taxa_Selic;CDI;DolarC;DolarC_var;DolarV;DolarV_var;EuroC;EuroC_var;EuroV;EuroV_var;IBV_Cot;IBV_min;IBV_max;IBV_varabs;IBV_varperc;IBV_vol;INPC_m;INPC_ac;IPCA_m;IPCA_ac;IPA-M_m;IPA-M_ac;IPA-DI_m;IPA-DI_ac;IGP-M_m;IGP-M_ac;IGP-DI_m;IGP-DI_ac;PAB_o;PAB_d;TVP_o;TVP_d;PICV_o;PICV_d;CCU_o;CCU_d;CS_o;CS_d;UCPIIT_FGV_o;UCPIIT_FGV_d;CPCIIT_CNI_o;CPCIIT_CNI_d;VIR_o;VIR_d;HTPIT_o;HTPIT_d;SRIT_o;SRIT_d;PPOB;PGN;PIG_o;PIG_d;PIBCa_o;PIBCa_d;PIBI_o;PIBI_d;PIBCo_o;PIBCo_d;PIA_o;PIA_d;ICC;INEC;ICEI;DBNDES;IEG_o;IEG_d;IETIT_o;IETIT_d;IETC_o;IETC_d;IETS_o;IETS_d;IETCV_o;IETCV_d;PO;TD;BM;PME
01/02/2017;1;3;2;2017;1;0;8.06;8.14;5.94;7.28;956.85;954.02;956.14;955.88;24.82;29.59;24;25.7;21.8;23.28;21.46;22.05;78.55;59.83;81.89;75.12;11.65;17.87;8.17;11.9;1.66;1.43;0.72;1.25;9.3;7.75;8.25;8.52;966.72;965.68;962.48;964.87;22.15;25.87;22.26;23.12;20.63;22.44;20.75;21.13;86.91;73.95;87.75;83.99;13.76;15.78;10.73;13.13;1.44;2.11;1.73;1.72;7.64;7.52;4.37;6.38;981.16;979.64;979.28;980.07;27.1;31.24;27.04;28.11;23.25;24.27;23.22;23.5;73.09;57.6;74.08;69.59;10.88;10.22;10.94;10.74;2.22;2.46;2.31;2.31;8.23;8.26;7.94;8.13;998.71;995.52;996.42;997.05;24.78;28.46;25.91;26.12;23.75;25.48;24.47;24.45;90.89;77.59;88.95;86.84;9.29;16.24;12.25;12.13;0.69;1.57;0.88;0.98;8.25;7.94;6.4;7.48;973.64;971.14;971.61;972.26;24.76;28.95;24.68;25.78;22.21;23.71;22.24;22.6;81.14;65.57;82.33;77.69;11.59;15.58;10.34;12.12;1.53;1.79;1.33;1.52;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.15;0;3.15;0;3.38;0;3.38;0;64836.12;64686.87;65593.52;165.34;0.26;3313686;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
02/02/2017;2;4;2;2017;1;0;8.72;8.44;7.23;8.09;957.38;953.86;955.02;955.61;23.67;28.3;23.98;24.95;21.46;23.18;21.48;21.9;83.78;65.38;83.34;79.02;17.53;21.61;10.81;16.03;1.21;1.79;0.87;1.23;8.09;7.8;7.39;7.75;959.85;963.07;959.8;960.63;23.11;27.3;22.72;24.01;21.41;23.16;21.27;21.8;86;70.2;87.96;82.78;22.29;24.06;8.62;17.6;1.51;2.38;1.28;1.64;7.69;6.71;5.51;6.63;980.85;979.63;978.95;979.84;26.85;31.36;26.75;27.94;23.45;24.53;23.25;23.65;75.56;57.95;75.21;71.02;13.33;12.8;11.63;12.56;2.39;2.56;1.84;2.23;8.68;7.53;7.96;8.12;998.49;995.8;996.78;997.18;24.81;29.69;25.37;26.24;23.95;25.77;24.05;24.44;92.11;73.73;90.89;87.06;11.33;12.09;9.14;10.7;0.71;1.15;0.77;0.84;8.32;7.77;7.1;7.72;972.29;970.62;970.65;971.25;24.51;29.07;24.54;25.66;22.38;23.95;22.29;22.74;83.86;66.08;84.04;79.48;16.47;18.7;10.55;14.81;1.42;1.95;1.16;1.46;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;-0.9;3.12;-0.9;3.37;-0.27;3.37;-0.29;64578.22;64162.64;65132.35;-257.91;-0.4;3050703;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
03/02/2017;3;5;2;2017;1;0;7.89;8.62;7.91;8.08;957.59;954.09;956.67;956.37;24.59;28.25;23.84;25.22;22.31;23.63;21.98;22.52;82.88;68.64;86.81;80.79;16.53;16.73;11.07;14.53;0.99;1.17;0.65;0.91;6.65;6.4;7.13;6.77;960.45;964.97;958.52;960.86;23.59;28.2;23.42;24.68;21.91;23.35;21.88;22.26;86.78;66.25;87.52;81.93;24.76;22;14.1;20.07;1.56;1.88;0.92;1.4;7.26;6.18;5.21;6.22;981.47;979.62;979.75;980.36;26.92;31.91;26.46;28;23.24;24.43;23.43;23.61;73.56;54.79;77.8;70.46;11.18;12.96;12.48;12.11;2.54;2.36;2.11;2.33;8.21;7.4;7.24;7.65;998.53;995.39;996.5;996.98;25.51;29.79;26.27;26.87;24.37;25.87;24.51;24.8;89.65;72.21;87.27;84.4;9.14;12.73;5.83;8.8;1.04;1.39;0.43;0.9;7.66;7.46;7.17;7.43;972.63;971.04;971.34;971.75;25.03;29.28;24.78;26;22.82;24.13;22.77;23.13;83.21;66.03;85.18;79.66;15.78;16.81;11.37;14.38;1.44;1.62;0.99;1.32;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;0.14;3.12;0.14;3.36;-0.35;3.36;-0.31;64953.93;64264.2;65387.02;375.72;0.58;3590442;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
04/02/2017;4;6;2;2017;1;0;7.81;7.99;8.59;8.15;957.12;952.59;956.98;955.93;25.24;28.91;23.76;25.61;22.58;23.65;22.16;22.69;81.92;67.17;88.8;80.81;15.33;17.95;7.35;12.99;1.05;1.42;0.67;1;2.43;5.15;4.48;3.88;961.35;964.79;960.77;961.99;24.89;31.36;24.01;26.18;22.54;24.65;21.98;22.86;81.57;56.9;83.78;76.23;14.38;23.56;10.1;15.07;1.22;2.11;0.78;1.28;6.49;6;3.9;5.4;980.02;977.98;979.55;979.34;27.26;32.36;27.21;28.52;23.14;24.41;23.52;23.6;70.89;53.15;74.04;67.63;10.46;12.02;12.65;11.67;2.43;2.53;2.15;2.35;8.16;7.86;6.35;7.41;997;992.28;996.43;995.6;25.74;29.47;26.23;26.86;24.98;26.12;24.87;25.22;89.59;74.62;88.51;85.44;7.68;15.46;6.42;9.15;0.81;1.4;0.59;0.87;6.53;6.95;6.36;6.57;972.03;969.44;971.79;971.29;25.68;30.25;24.98;26.56;23.18;24.49;22.93;23.41;81.13;63.42;84.84;78.1;12.95;17.71;9.27;12.76;1.35;1.82;0.98;1.33;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;0;3.12;0;3.36;0;3.36;0;64953.93;64264.2;65387.02;375.72;0;3590442;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
05/02/2017;5;7;2;2017;1;0;8.4;7.98;7.64;8.01;961.51;956.37;955.76;958.07;24.52;28.52;24.43;25.49;22.57;23.93;22.34;22.82;86.33;68.1;86.4;81.8;14.34;18.39;11.61;14.33;0.84;1.42;0.58;0.89;5.8;7.8;4.65;5.87;965.73;964.86;959.29;963.1;24.15;28.32;25.59;25.73;21.75;22.85;22.96;22.48;80.85;62.1;79.91;75.81;26.78;28.83;10.33;21.13;1.8;3.32;1.26;1.98;6.02;5.51;3.33;4.88;980.13;977.73;978.35;978.86;27.37;32.36;27.38;28.62;23.24;24.39;23.3;23.55;70.71;52.73;71.53;66.52;10.78;14.08;11.68;11.94;2.44;2.38;2.24;2.35;7.74;6.96;7.33;7.39;996.74;992.76;994.06;994.74;25.47;29.73;26.03;26.75;24.82;26.44;24.65;25.16;90.68;71.26;89.52;85.39;8.5;11.89;7.61;9.01;0.88;1.18;0.49;0.81;7.27;7.28;6.19;6.87;975.17;971.47;970.27;972.41;25.24;29.47;25.54;26.41;23.01;24.28;23.11;23.37;82.87;64.63;82.88;78.31;15.05;18.53;10.98;14.4;1.39;1.95;1.07;1.41;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;0;3.12;0;3.36;0;3.36;0;64953.93;64264.2;65387.02;375.72;0;3590442;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
06/02/2017;6;1;2;2017;1;0;7.98;7.27;7.97;7.8;955.88;952.02;958.72;955.98;24.22;30;24.24;25.67;22.1;24.23;22.62;22.83;85.84;63.45;88.65;81.3;14.17;19.62;9.92;13.94;0.9;1.56;0.53;0.93;6.35;5.3;5.9;5.92;962.29;966.58;965.75;964.66;21.47;26.76;23.32;23.48;19.13;20.66;20.86;20.16;79.87;56.05;79.5;73.78;17.81;22.56;22.56;20.78;1.41;2.58;1.55;1.75;6.14;6.24;3.88;5.32;980.22;978.54;978.21;979.05;27.63;32.51;27.49;28.8;23.55;24.79;23.48;23.83;71.11;53.71;71.96;67.08;13.62;14.52;11.55;13.07;2.33;2.38;1.99;2.22;7.59;6.73;7.21;7.23;997.45;994.23;994.58;995.57;25.9;30.78;26.53;27.36;24.72;26.4;24.79;25.16;87.84;69.91;87.07;83.07;12.78;13.94;8.17;11.34;1.06;1.44;0.66;1.01;7.25;6.57;6.66;6.86;971.81;970.07;973.25;971.92;24.71;29.98;25.14;26.19;22.34;24.05;22.86;22.96;82;61.4;83.28;77.33;14.88;18.49;12.92;15.05;1.35;1.93;1.09;1.4;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;-0.2;3.12;-0.2;3.34;-0.54;3.35;-0.55;63992.93;63932.71;65326.58;-961;-1.48;2630288;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
07/02/2017;7;2;2;2017;1;0;8;8.01;7.87;7.95;955.23;951.84;953.47;953.72;24.45;29.53;24.49;25.73;22.68;24.26;22.83;23.13;85.97;65.58;88.84;81.95;13.29;18.4;7.4;12.36;0.69;1.36;0.5;0.79;3.13;4.65;3.43;3.62;963.79;968.39;964.45;965.19;21.12;26.17;21.57;22.55;18.26;20.17;18.84;18.96;75.57;57.45;77;71.57;15.1;16.78;17.52;16.43;1.67;2.08;1.33;1.64;7.65;6.71;4.85;6.36;979.62;978.43;978.3;978.83;27.31;31.5;27.61;28.47;23.49;24.62;23.66;23.83;72.34;58.25;72.53;68.89;11.3;15.22;11.48;12.35;2.29;2.28;2.12;2.23;8.25;7.65;7.3;7.74;996.98;994.36;995.23;995.67;26.04;29.79;26.78;27.25;25;26.11;25.05;25.3;88.59;74.66;86.62;84.37;11.14;14.39;7.25;10.49;1.01;1.81;0.84;1.14;6.94;6.99;6.3;6.71;971.64;970.36;970.49;970.89;24.73;29.35;24.93;25.96;22.43;23.89;22.6;22.86;81.45;64.14;82.84;77.64;13.2;16.8;10.8;13.2;1.3;1.81;1.1;1.35;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.13;0.4;3.13;0.4;3.34;-0.11;3.34;-0.14;64198.9;63937.92;64815.27;205.96;0.32;2862062;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
08/02/2017;8;3;2;2017;1;0;7.9;7.78;8.05;7.92;955.64;952.53;954.62;954.48;24.45;28.45;24.36;25.42;22.12;23.79;22.57;22.7;84.71;69.63;87.51;81.99;13.74;15.84;9.8;12.79;0.87;1.29;0.73;0.92;6;7.4;4.65;5.84;965.12;969.31;963.28;965.48;21.7;26.46;20.87;22.58;19.21;21.18;18.44;19.41;78.96;62.25;78.83;74.73;8.9;15;12.29;11.7;1.91;1.91;1.47;1.74;7.13;6.65;6.23;6.67;979.94;978.28;978.8;979.1;26.87;31.32;26.72;27.93;23.31;24.6;23.41;23.67;74.31;59;76.26;71.22;12.11;14.04;10.6;12.03;2.27;2.21;2.03;2.17;8.35;7.27;8.4;8.1;997.33;994.39;996.19;996.17;25.29;29.8;26.04;26.7;24.61;26.06;24.52;24.94;90.38;72.55;89.97;85.77;12.78;16.58;10.94;13.04;1.18;1.54;1.06;1.23;7.46;7.39;7.1;7.31;972.28;970.85;971.12;971.49;24.6;28.85;24.5;25.62;22.32;23.87;22.31;22.71;82.51;66.83;83.89;79.11;12.48;15.31;11.09;12.66;1.45;1.67;1.24;1.43;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;-0.16;3.13;-0.16;3.34;0.09;3.34;0.1;64835.4;63739.96;64835.4;636.5;0.99;3235661;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
09/02/2017;9;4;2;2017;1;0;7.3;7.63;7.25;7.36;956.33;952.66;955.08;954.94;24.79;29.16;24.61;25.81;22.42;23.94;22.62;22.87;83.2;65.67;86;79.87;12.46;14.79;8.15;11.42;1.24;1.59;0.69;1.12;4;7;6.52;5.7;965.34;968.67;964.26;965.77;23.1;28.52;21.44;23.83;20.38;23.13;19.42;20.71;77.91;63.45;82.61;76.06;12;13.94;10.38;11.88;2.11;2.24;1.6;1.95;7.59;7.16;5.88;6.84;980.27;978.82;978.89;979.39;26.84;30.33;26.63;27.63;23.56;24.52;23.28;23.7;76.49;63.66;76.61;73.33;10.38;13.66;11.86;11.75;2.16;2.34;2.18;2.21;8.79;8.15;7.44;8.12;999.23;995.25;995.8;996.95;25.14;28.65;26.22;26.42;24.28;25.42;24.8;24.76;91.24;78.36;87.62;86.67;13.22;15.09;10.69;12.74;1.02;1.75;0.62;1.05;6.89;7.48;6.88;7.04;973.07;971.07;971.51;971.98;24.91;29.11;24.64;25.86;22.56;24.13;22.51;22.93;82.15;67.32;83.91;79.1;11.99;14.68;10.37;12.05;1.59;1.92;1.2;1.53;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.12;-0.22;3.12;-0.22;3.32;-0.57;3.33;-0.53;64964.89;64586.73;65302.16;129.49;0.2;2723433;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
10/02/2017;10;5;2;2017;1;0;8.17;8.03;6.13;7.37;956.05;953.26;954.12;954.63;24.39;28.06;25.09;25.57;22.05;23.58;22.67;22.66;84.58;70.5;83.65;80.71;10.97;17.97;9.17;12.05;1.58;1.83;0.76;1.33;7.09;8.3;7.91;7.7;964.25;968.5;963.4;964.99;23.05;27.99;23.29;24.37;20.47;22.62;21.26;21.3;78.96;62.15;83.61;76.5;14.48;15.61;11.71;13.72;2.47;2.53;2.27;2.41;8.49;8.46;7;7.92;980.46;979.38;978.58;979.49;26.12;29.1;26.19;26.89;23.34;24.32;23.41;23.61;79.49;69.19;80.41;77.26;10.85;16.14;13.35;13.11;2.13;2.61;2.16;2.26;8.76;8.13;7.91;8.29;998.27;995.66;996.14;996.82;24.9;28.66;25.9;26.22;23.89;25.26;24.28;24.38;91.73;78.27;89.51;87.53;10.61;18.91;13.86;13.9;0.96;1.54;0.83;1.06;8.08;8.14;7.01;7.69;972.65;971.52;971;971.75;24.57;28.41;25.03;25.71;22.33;23.83;22.78;22.87;83.48;69.59;84.06;80.23;11.61;17.21;11.7;13.04;1.79;2.09;1.4;1.72;434.67;450.76;257.42;387.5;437.45;451.04;336.19;290.74;328.26;343.24;393.83;418.57;398.83;391.1;234.44;373.89;405.25;420.46;286.98;257.71;245.69;317.3;395.39;377.36;416.03;427.18;238.78;355.4;423.65;408.65;318.26;217.49;204.61;311.34;316.83;379.86;505.8;525.24;288.85;434.99;491.52;487.87;354.57;538.55;326.58;384.47;0;466.05;427.43;442.24;251.74;383.42;434.95;439.1;316.5;224.26;254.29;334.84;353.64;406.43;13;12.9;12.88;3.11;-0.1;3.12;-0.1;3.31;-0.46;3.31;-0.46;66124.52;64935.42;66291.72;1159.64;1.79;3545382;0.24;4.69;0.33;4.76;-0.09;5.53;-0.12;5.35;0.06;5.26;0.08;5.38;89.28;96.53;79.64;89.25;65.09;71.23;67.29;81.34;86.92;99.28;89.56;90.3;91.16;93.21;68.09;79.46;74;78.26;97.69;101.01;119.16;138.71;75.7;87.6;65.9;70.8;75.9;87.8;77.4;89.1;201067;111.85;113.8;104.4;53.1;10015.33;173.92;173.16;137.19;136.64;215.1;216.63;184.92;184.48;175.54;174.58;89346;13.17;266325;217874.92
